Date,Category,Geography,Customer_Type,Sales,Revenue,Order_ID,Customer,Total_Amount,Status,Visits,Orders,Stage,Count,Traffic_Source,Session_Duration,Bounce_Rate,Pages_Per_Session,Product_Name
2023-02-24,Books,Asia,New,641.94,597.44,7715,Customer_264,131.45,Pending,356,12,Add to Cart,32,Paid Ads,3.56,0.93,4.77,Product_59
2023-04-30,Toys,South America,Returning,519.55,640.71,8027,Customer_925,144.01,Pending,177,38,Purchase,76,Organic Search,4.82,0.84,5.15,Product_59
2023-03-11,Electronics,Europe,Returning,793.65,280.17,3304,Customer_296,580.52,Pending,237,12,Add to Cart,31,Paid Ads,1.7,0.24,3.27,Product_87
2023-05-11,Home & Kitchen,North America,Returning,513.44,215.61,8069,Customer_790,508.33,Completed,423,29,Add to Cart,56,Referral,7.66,0.16,7.74,Product_45
2023-01-17,Clothing,Europe,Returning,238.12,758.75,8258,Customer_814,967.48,Pending,146,9,Add to Cart,53,Paid Ads,1.15,0.58,7.33,Product_21
2023-05-20,Electronics,North America,New,386.95,931.11,4055,Customer_493,815.9,Cancelled,178,42,Purchase,9,Direct,2.28,0.3,1.01,Product_74
2023-03-07,Home & Kitchen,North America,Returning,798.13,836.48,5577,Customer_218,406.44,Completed,167,13,Visit,84,Direct,4.66,0.49,8.02,Product_66
2023-04-22,Home & Kitchen,North America,Returning,408.66,360.49,6590,Customer_651,526.0,Cancelled,174,14,Purchase,55,Referral,8.86,0.0,8.76,Product_79
2023-03-20,Clothing,Europe,New,19.54,938.23,6448,Customer_850,188.55,Cancelled,458,33,Purchase,71,Referral,7.93,0.43,8.8,Product_7
2023-03-08,Electronics,South America,New,776.81,990.39,1725,Customer_291,797.25,Cancelled,277,19,Add to Cart,66,Referral,8.89,0.74,4.06,Product_54
2023-02-28,Clothing,North America,New,320.5,986.55,6338,Customer_485,807.26,Cancelled,185,8,Purchase,27,Direct,1.76,0.94,4.54,Product_51
2023-05-11,Electronics,Australia,New,320.77,443.12,6219,Customer_25,396.25,Cancelled,373,48,Add to Cart,71,Paid Ads,1.19,0.85,9.9,Product_57
2023-03-14,Books,North America,Returning,913.08,910.2,3364,Customer_972,422.39,Completed,194,41,Visit,9,Referral,1.62,0.96,9.96,Product_37
2023-02-11,Home & Kitchen,Asia,Returning,815.62,177.34,7751,Customer_465,569.78,Completed,399,1,Visit,34,Direct,6.82,0.6,7.68,Product_34
2023-05-18,Toys,Asia,New,597.14,362.26,1488,Customer_660,539.96,Pending,245,31,Purchase,77,Organic Search,6.64,0.6,5.25,Product_7
2023-04-09,Toys,Asia,New,555.97,768.98,3246,Customer_988,351.81,Completed,364,27,Purchase,37,Referral,3.3,0.01,4.25,Product_38
2023-05-06,Books,Australia,Returning,674.99,218.35,8184,Customer_327,207.94,Cancelled,442,5,Purchase,41,Paid Ads,5.88,0.34,3.6,Product_75
